,,,,
,,,,
НОМЕНКЛАТУРА НА IBAN БАНКОВИ СМЕТКИ ФОРМАТИ,,,,
,,,,
,,,,
Описанията в полето Коментари са стандартизирани със специфични за държавата имена в скоби. Форматът на различните полета може да бъде изведен от полето IBAN.,,,,
,,,,
Страна,Брой знаци,Формат на банков код,IBAN полета,Коментари и пояснения
,,,,s = Branch code
,,,,c = Account number
,,,,x = National check digit
Faroe Islands,18,14n,FOkk bbbb cccc cccc cx,b = National bank code
,,,,c = Account number
,,,,x = National check digit
Finland,18,14n,FIkk bbbb bbcc cccc cx,b = Bank and branch code
,,,,c = Account number
,,,,x = National check digit
France,27,"10n,11c,2n",FRkk bbbb bsss sscc cccc cccc cxx,b = National bank code
,,,,s = Branch code (code guichet [fr])
,,,,c = Account number
,,,,x = National check digits (clé RIB [fr])
Georgia,22,"2c,16n",GEkk bbcc cccc cccc cccc cc,b = National bank code
,,,,c = Account number
Germany,22,18n,DEkk bbbb bbbb cccc cccc cc,b = Bank and branch identifier (Bankleitzahl or BLZ)
,,,,c = Account number
Gibraltar,23,"4a,15c",GIkk bbbb cccc cccc cccc ccc,b = BIC bank code
,,,,c = Account number
Greece,27,"7n,16c",GRkk bbbs sssc cccc cccc cccc ccc,b = National bank code
,,,,s = Branch code
,,,,c = Account number
Greenland,18,14n,GLkk bbbb cccc cccc cc,b = National bank code
,,,,c = Account number
Guatemala,28,"4c,20c",GTkk bbbb mmtt cccc cccc cccc cccc,b = National bank code
,,,,c = Account number
,,,,m = Currency code
,,,,t = Account type
Hungary,28,24n,HUkk bbbs sssx cccc cccc cccc cccx,b = National bank code
,,,,s = Branch code
,,,,c = Account number
,,,,x = National check digit
Iceland,26,22n,ISkk bbss ttcc cccc iiii iiii ii,b = National bank code
,,,,s = Branch code
,,,,t = Account type
,,,,c = Account number
,,,,i = Account holder's kennitala (national identification number)
Iraq,23,"4a,15n",IQkk bbbb sssc cccc cccc ccc,b = National bank code
,,,,s = Branch code
,,,,c = Account number
Ireland,22,"4c,14n",IEkk aaaa bbbb bbcc cccc cc,a = BIC bank code
,,,,b = Bank/branch code (sort code)
,,,,c = Account number
Israel,23,19n,ILkk bbbs sscc cccc cccc ccc,b = National bank code
,,,,s = Branch code
,,,,c = Account number 13 digits (padded with zeros)
Italy,27,"1a,10n,12c",ITkk xbbb bbss sssc cccc cccc ccc,x = Check character (CIN [it])
,,,,b = National bank code (Associazione Bancaria Italiana or Codice ABI)
,,,,s = Branch code (Coordinate bancarie [it] or CAB – Codice d'Avviamento Bancario)
,,,,c = Account number
Jordan,30,"4a,22n",JOkk bbbb ssss cccc cccc cccc cccc cc,b = National bank code
,,,,s = Branch code
,,,,c = Account number
Kazakhstan,20,"3n,13c",KZkk bbbc cccc cccc cccc,b = National bank code
,,,,c = Account number
Kosovo,20,"4n,10n,2n",XKkk bbbb cccc cccc cccc,b = National bank code
,,,,c = Account number
Kuwait,30,"4a,22c",KWkk bbbb cccc cccc cccc cccc cccc cc,b = National bank code
,,,,c = Account number.
Latvia,21,"4a,13c",LVkk bbbb cccc cccc cccc c,b = BIC bank code
,,,,c = Account number
Lebanon,28,"4n,20c",LBkk bbbb cccc cccc cccc cccc cccc,b = National bank code
,,,,c = Account number
Libya,25,21n,LYkk bbbs sscc cccc cccc cccc c,b = National bank code
,,,,s = Branch code
,,,,c = Account number
Liechtenstein,21,"5n,12c",LIkk bbbb bccc cccc cccc c,b = National bank code
,,,,c = Account number
Lithuania,20,16n,LTkk bbbb bccc cccc cccc,b = National bank code
,,,,c = Account number
Luxembourg,20,"3n,13c",LUkk bbbc cccc cccc cccc,b = National bank code
,,,,c = Account number
North Macedonia,19,"3n,10c,2n",MKkk bbbc cccc cccc cxx,"k = IBAN check digits (always = ""07"")"
,,,,b = National bank code
,,,,c = Account number
,,,,x = National check digits
Malta,31,"4a,5n,18c",MTkk bbbb ssss sccc cccc cccc cccc ccc,b = BIC bank code
,,,,s = Branch code
,,,,c = Account number
Mauritania,27,23n,MRkk bbbb bsss sscc cccc cccc cxx,"k = IBAN check digits (always ""13"")"
,,,,b = National bank code
,,,,s = Branch code (code guichet [fr])
,,,,c = Account number
,,,,x = National check digits (clé RIB [fr])
Mauritius,30,"4a,19n,3a",MUkk bbbb bbss cccc cccc cccc 000m mm,b = National bank code
,,,,s = Branch identifier
,,,,c = Account number
,,,,0 = Zeroes
,,,,m = Currency code
Monaco,27,"10n,11c,2n",MCkk bbbb bsss sscc cccc cccc cxx,b = National bank code
,,,,s = Branch code (code guichet [fr])
,,,,c = Account number
,,,,x = National check digits (clé RIB [fr]').
Moldova,24,"2c,18c",MDkk bbcc cccc cccc cccc cccc,b = National bank code
,,,,c = Account number
Montenegro,22,18n,MEkk bbbc cccc cccc cccc xx,"k = IBAN check digits (always = ""25"")"
,,,,b = Bank code
,,,,c = Account number
,,,,x = National check digits
Netherlands,18,"4a,10n",NLkk bbbb cccc cccc cc,b = BIC Bank code
,,,,c = Account number
Nicaragua,28,"4a, 20n",NIkk aaaa cccc cccc cccc cccc cccc,a = National bank code
,,,,c = Account number
Norway,15,11n,NOkk bbbb cccc ccx,b = National bank code
,,,,c = Account number
,,,,x = Modulo-11 national check digit
Pakistan,24,"4c,16n",PKkk bbbb cccc cccc cccc cccc,b = National bank code
,,,,c = Account number
Palestinian territories,29,"4c,21n",PSkk bbbb cccc cccc cccc cccc cccc c,b = National bank code
,,,,c = Account number
Poland,28,24n,PLkk bbbs sssx cccc cccc cccc cccc,b = National bank code
,,,,s = Branch code
,,,,x = National check digit
,,,,"c = Account number,"
Portugal,25,21n,PTkk bbbb ssss cccc cccc cccx x,"k = IBAN check digits (always = ""50"")"
,,,,b = National bank code (numeric only)
,,,,s = Branch code (numeric only)
,,,,c = Account number (numeric only)
,,,,x = National check digits (numeric only)
Qatar,29,"4a,21c",QAkk bbbb cccc cccc cccc cccc cccc c,b = National bank code
,,,,c = Account number[42]
Romania,24,"4a,16c",ROkk bbbb cccc cccc cccc cccc,b = BIC Bank code (first four alpha characters)
,,,,c = Branch code and account number (bank-specific format)
Saint Lucia,32,"4a,24c",LCkk bbbb cccc cccc cccc cccc cccc cccc,b = Bank code
,,,,c = Account number
San Marino,27,"1a,10n,12c",SMkk xbbb bbss sssc cccc cccc ccc,x = Check character (CIN [it])
,,,,b = National bank code (Associazione bancaria italiana or Codice ABI)
,,,,s = Branch code (Coordinate bancarie [it] or CAB – Codice d'Avviamento Bancario)
,,,,c = Account number
Sao Tome and Principe,25,21n,STkk bbbb ssss cccc cccc cccc c,b = National bank code
,,,,s = Branch number
,,,,c = Account number
Saudi Arabia,24,"2n,18c",SAkk bbcc cccc cccc cccc cccc,b = National bank code
,,,,"c = Account number preceded by zeros, if required"
Serbia,22,18n,RSkk bbbc cccc cccc cccc xx,"k = IBAN check digits (always = ""35"")"
,,,,b = National bank code
,,,,c = Account number
,,,,x = Account check digits
Seychelles,31,"4a,20n,3a",SCkk bbbb bb ss nnnn nnnn nnnn nnnn mmm,b = Bank code
,,,,s = Branch code
,,,,n = Account number
,,,,m = Currency code
Slovakia,24,20n,SKkk bbbb ssss sscc cccc cccc,b = National bank code
,,,,s = Account number prefix
,,,,c = Account number
Slovenia,19,15n,SIkk bbss sccc cccc cxx,"k = IBAN check digits (always = ""56"")"
,,,,b = National bank code
,,,,s = Branch code
,,,,c = Account number
,,,,x = National check digits
Spain,24,20n,ESkk bbbb ssss xxcc cccc cccc,b = National bank code
,,,,s = Branch code
,,,,x = Check digits
,,,,c = Account number
Sweden,24,20n,SEkk bbbc cccc cccc cccc cccc,b = National bank code
,,,,c = Account number
Switzerland,21,"5n,12c",CHkk bbbb bccc cccc cccc c,b = National bank code
,,,,c = Code identifying a bank account
Tunisia,24,20n,TNkk bbss sccc cccc cccc ccxx,"k = IBAN check digits (always ""59"")"
,,,,b = National bank code
,,,,s = Branch code
,,,,c = Account number
,,,,x = National check digits
Turkey,26,"5n,17c",TRkk bbbb b0cc cccc cccc cccc cc,b = National bank code
,,,,0 = Zero (reserved)
,,,,c = Account number
Ukraine,29,"6n, 19c",UAkk bbbb bbcc cccc cccc cccc cccc c,b = Bank code
,,,,"c = Account number preceded by zeros, if required"
United Arab Emirates,23,"3n,16n",AEkk bbbc cccc cccc cccc ccc,b = National bank code
,,,,c = Account number
United Kingdom,22,"4a,14n",GBkk bbbb ssss sscc cccc cc,b = BIC bank code
,,,,s = Bank and branch code (sort code)
,,,,c = Account number
Vatican City,22,"3n,15n",VAkk bbbc cccc cccc cccc cc,b = National bank code
,,,,c = Account number
"Virgin Islands, British",24,"4c,16n",VGkk bbbb cccc cccc cccc cccc,b = National bank code
,,,,c = Account number
,,,,
"В допълнение към горното, IBAN е в процес на разработване в страните по-долу, но все още не е каталогизиран за обща международна употреба.",,,,
В този списък,,,,
„kk“ представлява контролната сума на IBAN,,,,
"""a"" представлява азбучен знак",,,,
"""c"" представлява буквено-цифров знак.",,,,
"""n"" представлява цифров знак.",,,,
,,,,
Country,Chars,BBAN Format,Example,
Algeria,26,22n,DZkk nnnn nnnn nnnn nnnn nnnn nn,
Angola,25,21n,AOkk nnnn nnnn nnnn nnnn nnnn n,
Benin,28,"2c, 22n",BJkk ccnn nnnn nnnn nnnn nnnn nnnn,
Burkina Faso,28,"2c, 22n",BFkk ccnn nnnn nnnn nnnn nnnn nnnn,
Cabo Verde,25,21n,CVkk nnnn nnnn nnnn nnnn nnnn n,
Cameroon,27,23n,CMkk nnnn nnnn nnnn nnnn nnnn nnn,
Central African Republic,27,23n,CFkk nnnn nnnn nnnn nnnn nnnn nnn,
Chad,27,23n,TDkk nnnn nnnn nnnn nnnn nnnn nnn,
Comoros,27,23n,KMkk nnnn nnnn nnnn nnnn nnnn nnn,
"Congo, Republic of the",27,23n,CGkk nnnn nnnn nnnn nnnn nnnn nnn,
Côte d'Ivoire,28,"1a, 23n",CIkk annn nnnn nnnn nnnn nnnn nnnn,
Equatorial Guinea,27,23n,GQkk nnnn nnnn nnnn nnnn nnnn nnn,
Gabon,27,23n,GAkk nnnn nnnn nnnn nnnn nnnn nnn,
Guinea-Bissau,25,"2c, 19n",GWkk ccnn nnnn nnnn nnnn nnnn n,
Honduras,28,"4a, 20n",HNkk aaaa nnnn nnnn nnnn nnnn nnnn,
Iran,26,"4c, 18n",IRkk 0bb0 nnnn nnnn nnnn nnnn nn,
Madagascar,27,23n,MGkk nnnn nnnn nnnn nnnn nnnn nnn,
Mali,28,"2c, 22n",MLkk annn nnnn nnnn nnnn nnnn nnnn,
Morocco,28,24n,MAkk nnnn nnnn nnnn nnnn nnnn nnnn,
Mozambique,25,21n,MZkk nnnn nnnn nnnn nnnn nnnn n,
Niger,28,"2a, 22n",NEkk aann nnnn nnnn nnnn nnnn nnnn,
Senegal,28,"1a, 23n",SNkk annn nnnn nnnn nnnn nnnn nnnn,
Togo,28,"2a, 22n",TGkk aann nnnn nnnn nnnn nnnn nnnn,
