,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,ИД Но.,Секция,Подсекция,Елемент,Описание,Тип,Източник на получаване на данните,Режим на докладване (задължителен или незадължителен) за секции/подсекции/структури и елементи,Синтактични валидационни правила,Семантични валидационни правила,Стойност по подразбиране,Бележки,Модел на подаване,,
,MF.C.7,,,OpeningCreditBalance,"Кредитно салдо в началото на периода на файла (в основна валута). Ако салдото е отрицателно, това следва да е указано със знак ""-"" (минус).",SAFmonetaryType,GL,Mandatory,"Десетично число, с десетична точка, максимум 2 (две) цифри след десетичната точка.
Проверка на десетично число (xs:decimal)","Ако сметката е с кредитно салдо, използвайте OpeningCreditBalance и не използвайте OpeningDebitBalance - т.е. елементът не се попълва в XML файла.

Полето може да приема положителни или отрицателни стойности, според случая. Практически няма ограничения за стойността (+/-).
",N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,x,N/A,N/A
,MF.C.8,,,ClosingDebitBalance,"Дебитно салдо в края на периода на файла (в основна валута). Ако салдото е отрицателно, това следва да е указано със знак ""-"" (минус).",SAFmonetaryType,GL,Mandatory,"Десетично число, с десетична точка, максимум 2 (две) цифри след десетичната точка.
Проверка на десетично число (xs:decimal)","Ако сметката е с дебитно салдо, използвайте ClosingDebitBalance и не използвайте ClosingCreditBalance - т.е. елементът не се попълва в XML файла.

Полето може да приема положителни или отрицателни стойности, според случая, за точно отчитане, включително Активно-пасивни сметки и отрицателно дебитно салдо за други видове сметки. Практически няма ограничения за стойността (+/-).",N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,x,N/A,N/A
,MF.C.9,,,ClosingCreditBalance,"Кредитно салдо в края на периода на файла (в основна валута). Ако салдото е отрицателно, това следва да е указано със знак ""-"" (минус).",SAFmonetaryType,GL,Mandatory,"Десетично число, с десетична точка, максимум 2 (две) цифри след десетичната точка.
Проверка на десетично число (xs:decimal)","Ако сметката е с кредитно салдо, използвайте ClosingCreditBalance и не използвайте ClosingDebitBalance - т.е. елементът не се попълва в XML файла.

Полето може да приема положителни или отрицателни стойности, според случая, за точно отчитане, включително Активно-пасивни сметки и отрицателно кредитно салдо за други видове сметки. Практически няма ограничения за стойността (+/-).
",N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,x,N/A,N/A
,,,2.4 Suppliers,,,,,Mandatory,,,,,x,N/A,N/A
,MF.S.1,,,Supplier,Информация за доставчик.,Supplier,,Mandatory,N/A,N/A,N/A,,x,N/A,N/A
,MF.S.2,,Supplier,CompanyStructure,"Име и адрес на компанията
",CompanyStructure, ,Mandatory,N/A,N/A,N/A,,x,N/A,N/A
,MF.S.3,,,SupplierID,"Уникален номер за идентифициране на икономическия оператор, издаден от държавната администрация

Уникален код на клиент/доставчик, състоящ се от: тип (двуцифрен код), последван от уникалния код на клиента/доставчика, както следва:
1. 10, следван от ЕИК - където типът е 10, а ЕИК е уникалният идентификационен код за икономическите оператори, регистрирани в България.
2. 11, следван от кода на държавата (съгласно ISO 3166-1 - 2 букви) и уникалния идентификационен код по ДДС на съответната държава членка - за икономическите оператори от държавите членки на ЕС, с изключение на България, проверяеми чрез системата VIES (Система за обмен на информация за ДДС) - Пример: 11EL123456789 или 11HU12345678
3. 12, следван от кода на държавата (съгласно ISO 3166-1 - 2 букви) и уникалния идентификационен код по ДДС (или друг код от официален регистър) на съответната държава, която не е нито България, нито държава-членка на ЕС - за икономически оператори от други държави, различни от България или членки на ЕС - Пример: 12TK123005284, когато такъв регистрационен номер е наличен.
4. 13, последвано от ЕГН за физически лица/български граждани или 13, последвано от уникален персонален код за физически лица, пребиваващи в България.
5. 14, следван от кода на държавата (съгласно ISO 3166-1 - 2 букви), следван от уникален код на икономическия оператор, присъединен от задълженото лице (обикновено генериран от информационна система). 
6. 15, следван от уникален код на икономическия оператор, присъединен от задълженото лице (обикновено генериран от информационна система).
7. 16, последван от предоставен от НАП служебен номер (започващ с 307...).
",SAFmiddle1textType, ,Mandatory,N/A,N/A,N/A,"Ако за един и същи контрагент в секция SourceDocuments са подадени данни за получени от него доставки под различни идентификатори за целите на ДДС /VIN/, присвоен в различни държави членки - в елемента (SupplierID MF.S.3) се подава информация за идентификационния код, издаден от държавата, в която е установен доставчика. В този случай структура TaxIDStructure (към която се препраща от CompanyStructure, част от подсекция Suppliers - MF.S.2) се подава задължително и поотделно за всеки идентификатор за целите на ДДС на този клиент.",x,N/A,N/A
,MF.S.4,,,SelfBillingIndicator,"Индикатор, показващ дали има споразумение за самофактуриране между клиента и доставчика.",SAFcodeType, ,Optional,N/A,"Възможна е една от следните стойности:
- Y
- N",N/A,,x,N/A,N/A
,MF.S.5,,,AccountID,"Код на аналитична счетоводна сметка, който трябва да съответства на предоставената номенклатура на сметки от НАП.",SAFAccountType,GL,Mandatory,"Сметката трябва да бъде цяло число, различно от 0","Валидиране на ниво аналитична сметка, която трябва да се попълни,  съгласно предoставена Номенклатура на счетоводните сметки.",N/A,"Код на аналитична счетоводна сметка, който се използва в счетоводните записвания. Полето следва да се попълни, съгласно номенклатурата: 
- NRA Nom of Accounts
Ако разчетите/балансите с доставчик на предприятието се отразяват в повече от една счетоводна сметка - се подава информация за всяка счетоводна сметка в отделна структура на контрагента (CompanyStructure).",x,N/A,N/A
,MF.S.6,,,OpeningDebitBalance,"Дебитно салдо в началото на периода на файла (в основна валута). Ако салдото е отрицателно, това следва да е указано със знак ""-"" (минус).",SAFmonetaryType,GL,Mandatory,"Десетично число, с десетична точка, максимум 2 (две) цифри след десетичната точка.
Проверка на десетично число (xs:decimal)","Ако сметката е с дебитно салдо, използвайте OpeningDebitBalance и не използвайте OpeningCreditBalance - т.е. елементът не се попълва в XML файла.

Полето може да приема положителни или отрицателни стойности. Практически няма ограничения за стойността (+/-).
",N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,x,N/A,N/A
,MF.S.7,,,OpeningCreditBalance,"Кредитно салдо в началото на периода на файла (в основна валута). Ако салдото е отрицателно, това следва да е указано със знак ""-"" (минус).",SAFmonetaryType,GL,Mandatory,"Десетично число, с десетична точка, максимум 2 (две) цифри след десетичната точка.
Проверка на десетично число (xs:decimal)","Ако сметката е с кредитно салдо, използвайте OpeningCreditBalance и не използвайте OpeningDebitBalance - т.е. елементът не се попълва в XML файла.

Полето може да приема положителни или отрицателни стойности, според случая. Практически няма ограничения за стойността (+/-).
",N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,x,N/A,N/A
,MF.S.8,,,ClosingDebitBalance,"Дебитно салдо в края на периода на файла (в основна валута). Ако салдото е отрицателно, това следва да е указано със знак ""-"" (минус).",SAFmonetaryType,GL,Mandatory,"Десетично число, с десетична точка, максимум 2 (две) цифри след десетичната точка.
Проверка на десетично число (xs:decimal)","Ако сметката е с дебитно салдо, използвайте ClosingDebitBalance и не използвайте ClosingCreditBalance - т.е. елементът не се попълва в XML файла.

Полето може да приема положителни или отрицателни стойности, според случая, за точно отчитане, включително Активно-пасивни сметки и отрицателно дебитно салдо за други видове сметки. Практически няма ограничения за стойността (+/-).
",N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,x,N/A,N/A
,MF.S.9,,,ClosingCreditBalance,"Кредитно салдо в края на периода на файла (в основна валута). Ако салдото е отрицателно, това следва да е указано със знак ""-"" (минус).",SAFmonetaryType,GL,Mandatory,"Десетично число, с десетична точка, максимум 2 (две) цифри след десетичната точка.
Проверка на десетично число (xs:decimal)","Ако сметката е с кредитно салдо, използвайте ClosingCreditBalance и не използвайте ClosingDebitBalance - т.е. елементът не се попълва в XML файла.

Полето може да приема положителни или отрицателни стойности, според случая, за точно отчитане, включително Активно-пасивни сметки и отрицателно кредитно салдо за други видове сметки. Практически няма ограничения за стойността (+/-).
",N/A,Десетично число с максимум 2 цифри след десетичния знак (точка). ,x,N/A,N/A
,,,2.5 TaxTable,,,,,Mandatory,,,,,x,x,N/A
,MF.TT.1,,,TaxTableEntry,Запис за данъчна информация.,TaxTableEntry,ERP,Mandatory,N/A,N/A,N/A,,x,x,N/A
,MF.TT.2,,TaxTableEntry,TaxType,TaxType референция към предоставената таблица,SAFcodeType,ERP,Mandatory,Валидиране съгласно предоставената от НАП таблица TAX_IMP,N/A,N/A,Попълването на това поле става със съответния код съгласно номенклатурата TAX-IMP,x,x,N/A
,MF.TT.3,,,Description,Описание на TaxType,SAFlongtextType,ERP,Mandatory,N/A,N/A,N/A,,x,x,N/A
,MF.TT.4,,,TaxCodeDetails,Детайли по данъчен код за записа в данъчната таблица.,TaxCodeDetails,ERP,Mandatory,N/A,N/A,N/A,,x,x,N/A
,MF.TT.5,,TaxCodeDetails,TaxCode,TaxCode референция,SAFcodeType,ERP,Mandatory,Валидиране съгласно предоставената от НАП таблица TAX_IMP,N/A,N/A,Попълването на това поле става със съответния код съгласно номенклатурата TAX-IMP,x,x,N/A
,MF.TT.6,,,EffectiveDate,Начална дата за този запис.,Date,ERP,Optional,Валидиране съгласно стандарт ISO 8601,N/A,N/A,"Датата и часът се попълват в отчетния файл SAF-T, като се използва стандартът ISO 8601, който определя следния формат ГГГГ-ММ-ДД

Пример за приет формат за дата: 2020-10-03, 2021-04-12",x,x,N/A
,MF.TT.7,,,ExpirationDate,Крайна дата за този запис.,Date,ERP,Optional,Валидиране съгласно стандарт ISO 8601,N/A,N/A,"Датата и часът се попълват в отчетния файл SAF-T, като се използва стандартът ISO 8601, който определя следния формат ГГГГ-ММ-ДД

Пример за приет формат за дата: 2020-10-03, 2021-04-12",x,x,N/A
,MF.TT.8,,,Description,Описание на TaxCode,SAFlongtextType,ERP,Optional,N/A,N/A,N/A,,x,x,N/A
,MF.TT.9,,,TaxPercentage,Данъчна ставка,Decimal,ERP,Optional,Десетично число,"Ако се използва FlatTaxRate, не отчитайте TaxPercentage.
",N/A,,x,x,N/A
,MF.TT.10,,,FlatTaxRate,,AmountStructure,ERP,Optional,N/A,"Ако се използва FlatTaxRate, не отчитайте TaxPercentage.",N/A,,x,x,N/A
,MF.TT.11,,,BaseRate,"Коефициент на приспадане, използван за съответния TaxCode.",SAFBaseRate,,Optional,"Ограничение: (0,00 - 1,00)",N/A,"1,00","В елемент BaseRate – коефициент на приспадане за ЧДК по подразбиране се посочва „1,00“. При извършено приспадане се посочва съответният коефициент за приспадане.",x,x,N/A
,MF.TT.12,,,Country,Двубуквен код на страната съгласно ISO3166-2-CountryCodes. Например - BG за България.,ISOCountryCode,ERP,Mandatory,Разрешени са всички ISO ASCII знаци,Валидация съгласно ISO3166-2-CountryCodes,BG,"Стойност по подразбиране - ""BG"" за България",x,x,N/A
,MF.TT.13,,,Region,Специфичен за страната код за посочване на регионите/провинциите в рамките на данъчния орган. За предпочитане е описано в съответствие с ISO3166-1A2 - EN Dept Codes. Пример: BG-22 София,SAFcodeType,ERP,Optional,Валидиране съгласно ISO3166-,Валидация съгласно ISO3166-2:BG кодове,N/A,Попълва се съгласно ISO3166-2:BG,x,x,N/A
,,,2.6 UOMTable,,,,,Mandatory,,,,,x,x,N/A
,MF.UOM.1,,,UOMTableEntry,,UOMTableEntry,,Mandatory,N/A,N/A,N/A,,x,x,N/A
,MF.UOM.2,,UOMTableEntry,UnitOfMeasure,"Единица мярка за количество, например пакет от 12",SAFcodeType,ERP,Mandatory,Валидиране съгласно номенклатурата Unit_Of_Measure,Валидация съгласно Unit_Of_Measure,N/A,Попълва се съгласно номенклатурата - Unit_Of_Measure,x,x,N/A
,MF.UOM.3,,,Description,Описание на мерната единица,SAFlongtextType,ERP,Mandatory,N/A,N/A,N/A,,x,x,N/A
,,,2.7 AnalysisTypeTable,,,,,Optional,,,,,x,N/A,N/A
,MF.AT.1,,,AnalysisTypeTableEntry,,AnalysisTypeTableEntry,,Mandatory,N/A,N/A,N/A,,"x

В случай на месечно подаване, секция AnalysisTypeTable ВИНАГИ следва да бъде подаван.
Ако  данъкоплатецът няма какво да подаде (0 записи) ТОГАВА сецкията е празна, без да включва информация в подсекциите - подават се само началните и крайните тагове без записи
",N/A,N/A
,MF.AT.2,,AnalysisTypeTableEntry,AnalysisType,"Идентификатор на Analysis Type: напр. CC (за разходен център), DEP (за отдел) и др., т.е. попълва се идентификационен код на самата номенклатура.",SAFmiddle1textType,ERP,Mandatory,N/A,N/A,N/A,"Попълва се със стойности, отбелязващи разходни центрове/центрове за печалба или подобни",x,N/A,N/A
,MF.AT.3,,,AnalysisTypeDescription,"Описание на AnalysisType, т.е. описание на попълнения идентификационен код. Например - ако е попълнен код - CC за разходен център - се опълва описание ""Разходни центрове""",SAFlongtextType,ERP,Mandatory,N/A,N/A,N/A,,x,N/A,N/A
,MF.AT.4,,,AnalysisID,"AnalysisID: напр. 1200-HDOF-TR (за разходен център Продажби в централата), P-4800-123 (за проект 123 в клон 4800). Т.е. попълва се конкретна стойност (в случая код) за съответния тип аналитични кодове.",SAFmiddle1textType,ERP,Mandatory,N/A,N/A,N/A,,x,N/A,N/A
,MF.AT.5,,,AnalysisIDDescription,"Описание на AnalysisID например ""Разходен център - Продажби"", т.е. попълва се описание за съответния код.",SAFlongtextType,ERP,Mandatory,N/A,N/A,N/A,,x,N/A,N/A
,,,2.8 MovementTypeTable,,,,,Mandatory - Тази подсекция се подава при ПОИСКВАНЕ ОТ ОРГАН ПО ПРИХОДИТЕ,,,,,N/A,x,N/A
,MF.MT.1,,,MovementTypeTableEntry,,MovementTypeTableEntry,,Mandatory,N/A,N/A,N/A,,N/A,x,N/A
,MF.MT.2,,MovementTypeTableEntry,MovementType,"Идентификатор за вида на стоковото движение. Например, продажба, покупка и т.н. Или технологични загуби, използване на компоненти в производството и др. Следва да се използва предоставената таблица.",SAFcodeType,ERP,Mandatory,Валидиране съгласно номенклатурата Stock_movement,N/A,N/A,Попълването на това поле става със съответния код съгласно номенклатурата - Stock_movements,N/A,x,N/A
,MF.MT.3,,,Description,Описание на стоковото движение,SAFlongtextType,ERP,Mandatory,N/A,N/A,N/A,,N/A,x,N/A
,,,2.9 Products,,,,,Mandatory,,,,,x,x,N/A
,MF.P.1,,,Product,,Product,,Mandatory,N/A,N/A,N/A,"На месечна база да се подават всички продукти с техните продуктовите кодове, които лицето води като МЗ в неговата счетоводна отчетност. ",x,x,N/A
,MF.P.2,,Product,ProductCode,Код на продукт / материален запас / услуга,SAFmiddle2textType,ERP,Mandatory,N/A,N/A,N/A,Подава се кода от системата на лицето.,x,x,N/A
,MF.P.3,,,GoodsServicesID,"Индикатор, показващ дали продукта е стока или услуга ",SAFcodeType,ERP,Optional,Валидиране за една от две възможни стойности: 01 или 02,N/A,N/A,"Попълва се, както следва:
- 01 - за продукти
- 02 - за услуги",x,x,N/A
,MF.P.4,,,ProductGroup,Продуктова група,SAFmiddle2textType,ERP,Optional,N/A,N/A,N/A,,x,x,N/A
,MF.P.5,,,Description,Описание на стоката или услугата,SAFlongtextType,ERP,Mandatory,N/A,N/A,N/A,Попълнено според текстовото описание на продукта в използваните системи,x,x,N/A
,MF.P.6,,,ProductCommodityCode,Код съгласно комбинирата номенклатура (NC8_TARIC),SAFmiddle1textType,,Mandatory,"Кодът трябва да бъде  8-цифрен.

Валидирането ще се извърши с Номенклатурата NC8_TARIC","Код от 8 цифри съгласно комбинираната номенклатура, освен в случаите, в които кодът не съществува в номенклатурата или не се изисква съгласно законодателството - в тези случаи се попълва 0.",N/A,"Код от 8 цифри съгласно комбинираната номенклатура, освен в случаите, в които кодът не съществува в номенклатурата или не се изисква съгласно законодателството - в тези случаи се попълва 0.",x,x,N/A
,MF.P.7,,,ProductNumberCode,"EAN или друг, като баркод или друг сходен тип код използван за етикиране на продукта",SAFmiddle2textType,ERP,Optional,N/A,N/A,N/A,,x,x,N/A
,MF.P.8,,,ValuationMethod,"Средно претеглена, FIFO, LIFO, Standard или др.",SAFmiddle1textType,ERP,Optional,N/A,N/A,N/A,"Полето се попълва с една от следните стойности:
- FIFO 
- LIFO
- Average cost
- Standard cost",x,x,N/A
,MF.P.9,,,UOMBase,"Основна мерна единица, използвана в информационните системи на данъкоплатеца",SAFmiddle1textType,ERP,Mandatory,N/A,N/A,N/A,,x,x,N/A
,MF.P.10,,,UOMStandard,"Стандартна мерна единица, съгласно предоставената таблица, например килограм, метър, кубичен метър.",SAFcodeType,,Mandatory,Валидиране съгласно номенклатурата Unit_Of_Measure,"В случай, че са попълнени и двата елементa - UOMBase и UOMStandard - aко UOMBase е еднаква с UOMStandard, то UOMToUOMBaseConversionFactor следва да е 1.
Ако двете са различни, UOMToUOMBaseConversionFactor не може да има стойност 1.",N/A,Попълва се съгласно кодовете в номенклатурата на мерните единици - Unit_Of_Measure,x,x,N/A
,MF.P.11,,,UOMToUOMBaseConversionFactor,Коефициент на преобразуване между UOMStandard и UOMBase,Decimal,,Mandatory,Десетично число,"Ако UOMBase = UOMStandard, UOMToUOMBaseConversionFactor = 1; В противен случай не може да има стойност 1.",N/A,UOMToUOMBaseConversionFactor е коефициентът на преобразуване на стандартната мерна единица в базовата единица.,x,x,N/A
,MF.P.12,,,Tax,,Tax, ,Optional,N/A,N/A,N/A,,x,x,N/A
