,,
,,
НОМЕНКЛАТУРА НА МЕРНИТЕ ЕДИНИЦИ,,
,,
,,
Код,Наименование (ENG),Наименование (BG)
A44,decalitre,декалитър
A45,decametre,декаметър
A47,decitex,децитекc
A48,degree Rankine,градус по скалата на Ранкин
A49,denier,дение
A5,ampere square metre,ампер  квадратен метър
A53,electronvolt,електронволт
A54,electronvolt per metre,електронволт на метър
A55,electronvolt square metre,eлектронволт квадратен метър
A56,electronvolt square metre per kilogram,електронволт квадратен метър за килограм
A6,ampere per square metre kelvin squared,ампер за квадратен метър келвин на квадрат
A68,exajoule,екзаджаул
A69,farad per metre,фарад на метър
A7,ampere per square millimetre,ампер на квадратен милиметър
A70,femtojoule,фемтоджаул
A71,femtometre,фемтометър
A73,foot per second squared,фут в секунда на квадрат
A74,foot pound-force per second,фунт-паунд за сила за секунда
A75,freight ton,товарен тон
A8,ampere second,ампер - секунда
A84,gigacoulomb per cubic metre,гигакулон на кубичен метър
A85,gigaelectronvolt,гигаелектронволт
A86,gigahertz,гигахерц
A87,gigaohm,гигаом
A88,gigaohm metre,гигаом метър
A89,gigapascal,гигапаскал
A90,gigawatt,гигават
A91,gon,гон
A93,gram per cubic metre,грам за кубичен метър
A94,gram per mole,грам за мол
A95,gray,грей
A96,gray per second,грей за секунда
A97,hectopascal,хектопаскал
A98,henry per metre,хенри на метър
A99,bit,бит
AA,ball,сфера
AB,bulk pack,насипна опаковка
ACR,acre,акър
ACT,activity,дейност
AD,byte,байт
AE,ampere per metre,ампер на метър
AI,average minute per call,средно минути на повикване
AK,fathom,фатом
AMH,ampere hour,амперчас
AMP,ampere,ампер
ANN,year,година
APZ,troy ounce or apothecary ounce,тройунция или аптекарска унция
AQ,anti-hemophilic factor (AHF) unit,единица за антихемофилен фактор (AHF)
ASM,alcoholic strength by mass,алкохолно съдържание по маса 
ASU,alcoholic strength by volume,алкохолно съдържание по обем
AWG,american wire gauge,американски габарит на проводник
AY,assembly,монтажна единица
AZ,British thermal unit (international table) per pound,Британска топлинна единица (международна таблица) за фунт
B1,barrel (US) per day,барел (САЩ) на ден
B10,bit per second,бит за секунда
B11,joule per kilogram kelvin,джаул за килограм келвин
B12,joule per metre,джаул за метър
B13,joule per square metre,джаул на квадратен метър
B14,joule per metre to the fourth power,джаул на метър до четвъртата степен
B15,joule per mole,джаул на мол
B16,joule per mole kelvin,джаул за мол келвин
B18,joule second,джаул-секунда
B20,joule square metre per kilogram,джаул квадратен метър за килограм
B21,kelvin per watt,келвин за ват
B22,kiloampere,килоампер
B23,kiloampere per square metre,килоампер на квадратен метър
B24,kiloampere per metre,килоампер на метър
B25,kilobecquerel per kilogram,килобекерел на килограм
B26,kilocoulomb,килокулон
B27,kilocoulomb per cubic metre,килокулон на кубичен метър
B28,kilocoulomb per square metre,килокулон на квадратен метър
B29,kiloelectronvolt,килоелектронволт
B3,batting pound,фунт за памучно влакно
B30,gibit,гибит/гибибит
B31,kilogram metre per second,килограм-метър за секунда
B32,kilogram metre squared,килограм метър на квадрат
B33,kilogram metre squared per second,килограм метър на квадрат за секунда
B34,kilogram per cubic decimetre,килограм за кубичен дециметър
B35,kilogram per litre,килограм за литър
B4,"barrel, imperial","барел, имперски"
B41,kilojoule per kelvin,килоджаул за келвин
B42,kilojoule per kilogram,килоджаул за килограм
B43,kilojoule per kilogram kelvin,килоджаул за килограм по келвин
B44,kilojoule per mole,килоджаул за мол
B45,kilomole,киломол
B46,kilomole per cubic metre,киломол на кубичен метър
B47,kilonewton,килонютон
B48,kilonewton metre,килонютон метър
B49,kiloohm,килоом
B50,kiloohm metre,килоом на метър
B52,kilosecond,килосекунда
B53,kilosiemens,килосименс
B54,kilosiemens per metre,килосименс на метър
B55,kilovolt per metre,киловолт на метър
B56,kiloweber per metre,киловебер на метър
B58,litre per mole,литър за мол
B59,lumen hour,лумен час
B60,lumen per square metre,лумен на квадратен метър
B61,lumen per watt,лумен за ват
B62,lumen second,лумен секунда
B66,megaampere per square metre,мегаампер на квадратен метър
B67,megabecquerel per kilogram,мегабекерел на килограм
B68,gigabit,гигабит
B69,megacoulomb per cubic metre,мегакулон на кубичен метър
B70,megacoulomb per square metre,мегакулон на квадратен метър
B71,megaelectronvolt,мегаелектронволт
B72,megagram per cubic metre,мегаграм на кубичен метър
B73,meganewton,меганютон
B74,meganewton metre,меганютон метър
B75,megaohm,мегаом
B76,megaohm metre,мегаом метър
B77,megasiemens per metre,мегасименс на метър
B78,megavolt,мегаволт
B79,megavolt per metre,мегаволт на метър
B8,joule per cubic metre,джаул на кубичен метър
B80,gigabit per second,гигабит за секунда
B82,inch per linear foot,инч на линеен фут
B83,metre to the fourth power,метър на четвърта степен
B84,microampere,микроампер
B85,microbar,микробар
B86,microcoulomb,микрокулон
B87,microcoulomb per cubic metre,микрокулон на кубичен метър
B88,microcoulomb per square metre,микрокулон на квадратен метър
B89,microfarad per metre,микрофарад на метър
B90,microhenry,микрохенри
B91,microhenry per metre,микрохенри на метър
B92,micronewton,микронютон
B93,micronewton metre,микронютон метър
B94,microohm,микроом
B95,microohm metre,микроом метър
B96,micropascal,микропаскал
B97,microradian,микрорадиан
B98,microsecond,микросекунда
B99,microsiemens,микросименс
BAR,bar [unit of pressure],бар [единица за налягане]
BB,base box,базова кутия
BFT,board foot,дъсчен фут
BHP,brake horse power,спирачна конска сила 
BIL,billion (EUR),милиард (EUR)
BLD,dry barrel (US),сух барел (САЩ)
BLL,barrel (US),барел (САЩ)
BP,hundred board foot,сто дъсчени фута
BQL,becquerel,бекерел
BTU,British thermal unit (international table),Британска топлинна единица (международна таблица)
BUA,bushel (US),бушел (САЩ)
BUI,bushel (UK),бушел (Великобритания)
C0,call,обаждане
C10,millifarad,милифарад
C11,milligal,милигал
C12,milligram per metre,милиграм на метър
C13,milligray,милигрей
C14,millihenry,милихенри
C15,millijoule,милиджаул
C16,millimetre per second,милиметър в секунда
C17,millimetre squared per second,милиметър на квадрат за секунда
C18,millimole,милимол
C19,mole per kilogram,мол за килограм
C20,millinewton,милинютон
C21,kibibit,кибибит
C22,millinewton per metre,милинютон на метър
C23,milliohm metre,милиом метър
C24,millipascal second,милипаскал секунда
C25,milliradian,милирадиан
C26,millisecond,милисекунда
C27,millisiemens,милисименс
C28,millisievert,милисиверт
C29,millitesla,милитесла
C3,microvolt per metre,микроволт на метър
C30,millivolt per metre,миливолт на метър
C31,milliwatt,миливат
C32,milliwatt per square metre,миливат на квадратен метър
C33,milliweber,миливебер
C34,mole,мол 
C35,mole per cubic decimetre,мол за кубичен дециметър
C36,mole per cubic metre,мол за кубичен метър
C37,kilobit,килобит
C38,mole per litre,мол на литър
C39,nanoampere,наноампер
C40,nanocoulomb,нанокулон
C41,nanofarad,нанофарад
C42,nanofarad per metre,нанофарад на метър
C43,nanohenry,нанохенри
C44,nanohenry per metre,нанохенри на метър
C45,nanometre,нанометър
C46,nanoohm metre,наноом метър
C47,nanosecond,наносекунда
C48,nanotesla,нанотесла
C49,nanowatt,нановат
C50,neper,непер
C51,neper per second,непер за секунда
C52,picometre,пикометър
C53,newton metre second,нютон метър секунда
C54,newton metre squared per kilogram squared,нютон метър на квадрат за килограм на квадрат
C55,newton per square metre,нютон на квадратен метър
C56,newton per square millimetre,нютон на квадратен милиметър
C57,newton second,нютон секунда
C58,newton second per metre,нютон секунда на метър
C59,octave,октава
C60,ohm centimetre,ом сантиметър
C61,ohm metre,ом метър
C62,mole,мол /единица/
C63,parsec,парсек
C64,pascal per kelvin,паскал за келвин
C65,pascal second,паскал секунда
C66,pascal second per cubic metre,паскал секунда на кубичен метър
C67,pascal second per metre,паскал секунда на метър
C68,petajoule,петаджаул
C69,phon,фон
C7,centipoise,сантипоаз
C70,picoampere,пикоампер
C71,picocoulomb,пикокулон
C72,picofarad per metre,пикофарад на метър
C73,picohenry,пикохенри
C74,kilobit per second,килобит в секунда
C75,picowatt,пиковат
C76,picowatt per square metre,пиковат на квадратен метър
C78,pound-force,фунт-сила
C79,kilovolt ampere hour,киловолт амперчас
C8,millicoulomb per kilogram,миликулон на килограм
C80,rad,рад
C81,radian,радиан
C82,radian square metre per mole,радиан квадратен метър на мол
C83,radian square metre per kilogram,радиан квадратен метър на килограм
C84,radian per metre,радиан на метър
C85,reciprocal angstrom,реципрочен ангстрьом
C86,reciprocal cubic metre,реципрочен кубичен метър
C87,reciprocal cubic metre per second,реципрочен кубичен метър за секунда
C88,reciprocal electron volt per cubic metre,реципрочен електронен волт на кубичен метър
C89,reciprocal henry,реципрочен хенри
C90,reciprocal joule per cubic metre,реципрочен джаул на кубичен метър
C91,reciprocal kelvin or kelvin to the power minus one,реципрочен келвин или келвин на степен минус едно
C92,reciprocal metre,реципрочен метър
C93,reciprocal square metre,реципрочен квадратен метър
C94,reciprocal minute,реципрочна минута
C95,reciprocal mole,реципрочен мол
C96,reciprocal pascal or pascal to the power minus one,реципрочен паскал или паскал на степен минус едно
C97,reciprocal second,реципрочна секунда
C99,reciprocal second per metre squared,реципрочна секунда на метър на квадрат
CCT,carrying capacity in metric ton,товароносимост в метричен тон
CDL,candela,кандела
CEL,degree Celsius,градус по Целзий
CEN,hundred,сто
CG,card,карта
CGM,centigram,сантиграм
CKG,coulomb per kilogram,кулон за килограм
CLF,hundred leave,сто листа
CLT,centilitre,сантилитър
CMK,square centimetre,квадратен сантиметър
CMQ,cubic centimetre,кубичен сантиметър
CMT,centimetre,сантиметър
CNP,hundred pack,сто в пакет
CNT,cental (UK),центал (Великобритания)
COU,coulomb,кулон
CTG,content gram,грам съдържание
CTM,metric carat,метричен карат
CTN,content ton (metric),тон съдържание (метричен)
CUR,curie,кюри
CWA,hundred pound (cwt) / hundred weight (US),сто фунта (cwt) / хандредвейт (САЩ)
CWI,hundred weight (UK),хандредвейт (Великобритания)
D03,kilowatt hour per hour,киловатчас на час
D04,lot  [unit of weight],лот [единица за тегло]
D1,reciprocal second per steradian,реципрочна секунда за стерадиан
D10,siemens per metre,сименс на метър
D11,mebibit,мебибит
D12,siemens square metre per mole,сименс квадратен метър на мол
D13,sievert,сиверт
D15,sone,сон
D16,square centimetre per erg,квадратен сантиметър за ерг
D17,square centimetre per steradian erg,квадратен сантиметър за стерадиан ерг
D18,metre kelvin,метър келвин
D19,square metre kelvin per watt,квадратен метър келвин за ват
D2,reciprocal second per steradian metre squared,реципрочна секунда за стерадиан метър на квадрат
D20,square metre per joule,квадратен метър на джаул
D21,square metre per kilogram,квадратен метър на килограм
D22,square metre per mole,квадратен метър на мол
D23,pen gram (protein),грам за парентерално и ентерално въвеждане (белтък)
D24,square metre per steradian,квадратен метър на стерадиан
D25,square metre per steradian joule,квадратен метър на стерадиан джаул
D26,square metre per volt second,квадратен метър на волт секунда
D27,steradian,стерадиан
D29,terahertz,терахерц
D30,terajoule,тераджаул
D31,terawatt,терават
D32,terawatt hour,тераватчас
D33,tesla,тесла
D34,tex,текс
D36,megabit,мегабит
D41,tonne per cubic metre,тон на кубичен метър
D42,tropical year,тропическа година
D43,unified atomic mass unit,унифицирана единица за атомна маса
D44,var,волтампер реактивна мощност
D45,volt squared per kelvin squared,волт на квадрат на келвин на квадрат
D46,volt - ampere,волтампер
D47,volt per centimetre,волт на сантиметър
D48,volt per kelvin,волта за келвин
D49,millivolt per kelvin,миливолт за келвин
D5,kilogram per square centimetre,килограм на квадратен сантиметър
D50,volt per metre,волт на метър
D51,volt per millimetre,волт на милиметър
D52,watt per kelvin,ват за келвин
D53,watt per metre kelvin,ват на метър келвин
D54,watt per square metre,ват на квадратен метър
D55,watt per square metre kelvin,ват на квадратен метър келвин
D56,watt per square metre kelvin to the fourth power,ват на квадратен метър келвин на четвърта степен
D57,watt per steradian,ват на стерадиан
D58,watt per steradian square metre,ват на стерадиан квадратен метър
D59,weber per metre,вебер на метър
D6,roentgen per second,рентген в секунда
D60,weber per millimetre,вебер на милиметър
D61,minute [unit of angle],минута [единица за ъгъл]
D62,second [unit of angle],секунда [единица за ъгъл]
D63,book,книга
D68,number of words,брой думи
D69,inch to the fourth power,инч на четвърта степен
D73,joule square metre,джаул квадратен метър
D74,kilogram per mole,килограм на мол
D77,megacoulomb,мегакулон
D78,megajoule per second,мегаджаул в секунда
D80,microwatt,микроват
D81,microtesla,микротесла
D82,microvolt,микроволт
D83,millinewton metre,милинютон-метър
D85,microwatt per square metre,микроват на квадратен метър
D86,millicoulomb,миликулон
D87,millimole per kilogram,милимол на килограм
D88,millicoulomb per cubic metre,миликулон на кубичен метър
D89,millicoulomb per square metre,миликулон на квадратен метър
D91,rem,бер (биологичен еквивалент на рентгена)
D93,second per cubic metre,секунда на кубичен метър
D94,second per cubic metre radian,секунда на кубичен метър радиан
D95,joule per gram,джаул на грам
DAA,decare,декар
DAD,ten day,десет дни
DAY,day,ден
DD,degree [unit of angle],градус [единица за ъгъл]
DEC,decade,декада
DG,decigram,дециграм
DJ,decagram,декаграм
DLT,decilitre,децилитър
DMA,cubic decametre,кубичен декаметър
DMK,square decimetre,квадратен дециметър
DMO,standard kilolitre,стандартен килолитър
DMQ,cubic decimetre,кубичен дециметър
DMT,decimetre,дециметър
DN,decinewton metre,децинютон метър
DPC,dozen piece,дузина бройки
DPR,dozen pair,дузина чифтове
DPT,displacement tonnage,водоизместимост в тонове
DRA,dram (US),драм (САЩ)
DRI,dram (UK),драм (Великобритания)
DRL,dozen roll,дузина ролки
DTN,decitonne,децитон
DWT,pennyweight,пенивейт
DZN,dozen,дузина
DZP,dozen pack,дванадесет в пакет
E01,newton per square centimetre,нютон на квадратен сантиметър
E07,megawatt hour per hour,мегаватчас на час
E08,megawatt per hertz,мегават на херц
E09,milliampere hour,милиамперчас
E12,mille,хиляда
E14,kilocalorie (international table),килокалория (международна таблица)
E15,kilocalorie (thermochemical) per hour,килокалория (термохимична) на час
E16,million Btu(IT) per hour,милион Btu(IT) на час
E17,cubic foot per second,кубичен фут в секунда
E18,tonne per hour,тон на час
E19,ping,пинг
E20,megabit per second,мегабит в секунда
E21,shares,дялове
E22,TEU,TEU
E23,tyre,гума
E25,active unit,активна единица
E27,dose,доза
E28,air dry ton,тон въздушно изсушена маса
E31,square metre per litre,квадратен метър на литър
E32,litre per hour,литър на час
E33,foot per thousand,фут на хиляда
E34,gigabyte,гигабайт
E35,terabyte,терабайт
E36,petabyte,петабайт
E37,pixel,пиксел
E38,megapixel,мегапиксел
E39,dots per inch,точки на инч
E4,gross kilogram,килограм бруто
E40,part per hundred thousand,част на сто хиляди
E41,kilogram-force per square millimetre,килограм-сила на квадратен милиметър
E42,kilogram-force per square centimetre,килограм-сила на квадратен сантиметър
E43,joule per square centimetre,джаул на квадратен сантиметър
E44,kilogram-force metre per square centimetre,килограм-сила метър на квадратен сантиметър
E45,milliohm,милиом
E46,kilowatt hour per cubic metre,киловатчас на кубичен метър
E47,kilowatt hour per kelvin,киловатчас на келвин
E49,working day,работен ден
E50,accounting unit,счетоводна единица
E51,job,длъжност
E52,run foot,фут пробег
E58,exabit per second,екзабит в секунда
E59,exbibyte,ексбибайт
E60,pebibyte,пебибайт
E61,tebibyte,тебибайт
E62,gibibyte,гибибайт
E63,mebibyte,мебибайт
E64,kibibyte,кибибайт
E65,exbibit per metre,ексбибит на метър
E66,exbibit per square metre,ексбибит на квадратен метър
E67,exbibit per cubic metre,ексбибит на кубичен метър
E68,gigabyte per second,гигабайт в секунда
E69,gibibit per metre,гибибит на метър
E70,gibibit per square metre,гибибит на квадратен метър
E71,gibibit per cubic metre,гибибит на кубичен метър
E72,kibibit per metre,кибибит на метър
E73,kibibit per square metre,кибибит на квадратен метър
E74,kibibit per cubic metre,кибибит на кубичен метър
E75,mebibit per metre,мебибит на метър
E76,mebibit per square metre,мебибит на квадратен метър
E77,mebibit per cubic metre,мебибит на кубичен метър
E78,petabit,петабит
E79,petabit per second,петабит в секунда
E80,pebibit per metre,пебибит на метър
E81,pebibit per square metre,пебибит на квадратен метър
E82,pebibit per cubic metre,пебибит на кубичен метър
E83,terabit,терабит
E84,terabit per second,терабит в секунда
E85,tebibit per metre,тебибит на метър
E86,tebibit per cubic metre,тебибит на кубичен метър
E87,tebibit per square metre,тебибит на квадратен метър
E88,bit per metre,бит на метър
E89,bit per square metre,бит на квадратен метър
E92,cubic decimetre per hour,кубичен дециметър за час
E93,kilogram per hour,килограм за час
E94,kilomole per second,киломол за секунда
E95,mole per second,мол за секунда
E96,degree per second,градус в секунда
E97,millimetre per degree Celcius metre,милиметър за градус по Целзий метър
E98,degree Celsius per kelvin,градус по Целзий за келвин
E99,hectopascal per bar,хектопаскал на бар
EB,electronic mail box,електронна пощенска кутия
EQ,equivalent gallon,еквивалентен галон
F01,bit per cubic metre,бит на кубичен метър
F02,kelvin per kelvin,келвин на келвин
F03,kilopascal per bar,килопаскал на бар
F04,millibar per bar,милибар на бар
F05,megapascal per bar,мегапаскал на бар
F06,poise per bar,поаз на бар
F07,pascal per bar,паскал на бар
F08,milliampere per inch,милиампер на инч
F10,kelvin per hour,келвин за час
F11,kelvin per minute,келвин за минута
F12,kelvin per second,келвин за секунда
F13,slug,слаг
F14,gram per kelvin,грам на келвин
F15,kilogram per kelvin,килограм на келвин
F16,milligram per kelvin,милиграм на келвин
F17,pound-force per foot,фунт-сила на фут
F18,kilogram square centimetre,килограм квадратен сантиметър
F19,kilogram square millimetre,килограм квадратен милиметър
F20,pound inch squared,фунт инч на квадрат
F21,pound-force inch,фунт-сила инч
F22,pound-force foot per ampere,фунт-сила фут на ампер
F23,gram per cubic decimetre,грам на кубичен дециметър
F24,kilogram per kilomol,килограм на киломол
F25,gram per hertz,грам на херц
F26,gram per day,грам за ден
F27,gram per hour,грам за час
F28,gram per minute,грам в минута
F29,gram per second,грам в секунда
F30,kilogram per day,килограм на ден
F31,kilogram per minute,килограм в минута
F32,milligram per day,милиграм на ден
F33,milligram per minute,милиграм в минута
F34,milligram per second,милиграм в секунда
F35,gram per day kelvin,грам на ден келвин
F36,gram per hour kelvin,грам на час келвин
F37,gram per minute kelvin,грам на минута келвин
F38,gram per second kelvin,грам на секунда келвин
F39,kilogram per day kelvin,килограм на ден келвин
F40,kilogram per hour kelvin,килограм на час келвин
F41,kilogram per minute kelvin,килограм на минута келвин
F42,kilogram per second kelvin,килограм на секунда келвин
F43,milligram per day kelvin,милиграм на ден келвин
F44,milligram per hour kelvin,милиграм на час келвин
F45,milligram per minute kelvin,милиграм на минута келвин
F46,milligram per second kelvin,милиграм на секунда келвин
F47,newton per millimetre,нютон на милиметър
F48,pound-force per inch,фунт-сила на инч
F49,rod [unit of distance],род [единица за разстояние]
F50,micrometre per kelvin,микрометър на келвин
F51,centimetre per kelvin,сантиметър на келвин
F52,metre per kelvin,метър на келвин
F53,millimetre per kelvin,милиметър на келвин
F54,milliohm per metre,милиом на метър
F55,ohm per mile (statute mile),ом на миля (статутна миля)
F56,ohm per kilometre,ом на километър
F57,milliampere per pound-force per square inch,милиампер на фунт-сила на квадратен инч
F58,reciprocal bar,реципрочен бар
F59,milliampere per bar,милиампер на бар
F60,degree Celsius per bar,градус Целзий на бар
F61,kelvin per bar,келвин на бар
F62,gram per day bar,грам на ден бар
F63,gram per hour bar,грам на час бар
F64,gram per minute bar,грам на минута бар
F65,gram per second bar,грам на секунда бар
F66,kilogram per day bar,килограм на ден бар
F67,kilogram per hour bar,килограм на час бар
F68,kilogram per minute bar,килограм на минута бар
F69,kilogram per second bar,килограм на секунда бар
F70,milligram per day bar,милиграм на ден бар
F71,milligram per hour bar,милиграм на час бар
F72,milligram per minute bar,милиграм на минута бар
F73,milligram per second bar,милиграм на секунда бар
F74,gram per bar,грам на бар
F75,milligram per bar,милиграм на бар
F76,milliampere per millimetre,милиампер на милиметър
F77,pascal second per kelvin,паскал-секунда на келвин
F78,inch of water,инч вода
F79,inch of mercury,инч живак
F81,bar per kelvin,бар на келвин
F82,hectopascal per kelvin,хектопаскал на келвин
F83,kilopascal per kelvin,килопаскал на келвин
F84,millibar per kelvin,милибар на келвин
F85,megapascal per kelvin,мегапаскал на келвин
F86,poise per kelvin,поаз на келвин
F87,volt per litre minute,волт на литър минута
F88,newton centimetre,нютон сантиметър
F89,newton metre per degree,нютон метър на градус
F90,newton metre per ampere,нютон метър на ампер
F91,bar litre per second,бар литър в секунда
F92,bar cubic metre per second,бар кубичен метър в секунда
F93,hectopascal litre per second,хектопаскал литър в секунда
F94,hectopascal cubic metre per second,хектопаскал кубичен метър в секунда
F95,millibar litre per second,милибар литър в секунда
F96,millibar cubic metre per second,милибар кубичен метър в секунда
F97,megapascal litre per second,мегапаскал литър в секунда
F98,megapascal cubic metre per second,мегапаскал кубичен метър в секунда
F99,pascal litre per second,паскал литър в секунда
FAH,degree Fahrenheit,градус Фаренхайт
FAR,farad,фарад
FBM,fibre metre,метри влакно
FC,thousand cubic foot,хиляда кубични фута
FF,hundred cubic metre,сто кубични метра
FH,micromole,микромол
FIT,failures in time,откази във времето
FL,flake ton,тон люспи
FOT,foot ,фут 
FP,pound per square foot,фунт на квадратен фут
FR,foot per minute,фут в минута
FS,foot per second,фут в секунда
FTK,square foot,квадратен фут
FTQ,cubic foot,кубичен фут
G01,pascal cubic metre per second,паскал кубичен метър в секунда
G04,centimetre per bar,сантиметър на бар
G05,metre per bar,метър на бар
G06,millimetre per bar,милиметър на бр
G08,square inch per second,квадратен инч в секунда
G09,square metre per second kelvin,квадратен метър на секунда келвин
G10,stokes per kelvin,стокс за келвин
G11,gram per cubic centimetre bar,грам на кубичен сантиметър бар
G12,gram per cubic decimetre bar,грам на кубичен дециметър бар
G13,gram per litre bar,грам на литър бар
G14,gram per cubic metre bar,грам на кубичен метър бар
G15,gram per millilitre bar,грам на милилитър бар
G16,kilogram per cubic centimetre bar,килограм на кубичен сантиметър бар
G17,kilogram per litre bar,килограм на литър бар
G18,kilogram per cubic metre bar,килограм на кубичен метър бар
G19,newton metre per kilogram,нютон метър на килограм
G2,US gallon per minute,американски галон за минута
G20,pound-force foot per pound,фунт-сила фут на фунт
G21,cup [unit of volume],чаша [единица за обем]
G23,peck,пек
G24,tablespoon (US),супена лъжица (САЩ)
G25,teaspoon (US),чаена лъжичка (САЩ)
G26,stere,стере
G27,cubic centimetre per kelvin,кубичен сантиметър на келвин
G28,litre per kelvin,литър на келвин
G29,cubic metre per kelvin,кубичен метър на келвин
G3,Imperial gallon per minute,галон за минута (имперски)
G30,millilitre per kelvin,милилитър на келвин
G31,kilogram per cubic centimetre,килограм на кубичен сантиметър
G32,ounce (avoirdupois) per cubic yard,унция (авоардюпоа) на кубичен метър
G33,gram per cubic centimetre kelvin,грам на кубичен сантиметър келвин
G34,gram per cubic decimetre kelvin,грам на кубичен дециметър келвин
G35,gram per litre kelvin,грам на литър келвин
G36,gram per cubic metre kelvin,грам на кубичен метър келвин
G37,gram per millilitre kelvin,грам на милилитър келвин
G38,kilogram per cubic centimetre kelvin,килограм на кубичен сантиметър келвин
G39,kilogram per litre kelvin,килограм на литър келвин
G40,kilogram per cubic metre kelvin,килограм на кубичен метър келвин
G41,square metre per second bar,квадратен метър за секунда бар
G42,microsiemens per centimetre,микросименс на сантиметър
G43,microsiemens per metre,микросименс на метър
G44,nanosiemens per centimetre,наносименс на сантиметър
G45,nanosiemens per metre,наносименс на метър
G46,stokes per bar,стокс за бар
G47,cubic centimetre per day,кубичен сантиметър за ден
G48,cubic centimetre per hour,кубичен сантиметър за час
G49,cubic centimetre per minute,кубичен сантиметър за минута
G50,gallon (US) per hour,галон (САЩ) за час
G51,litre per second,литър за секунда
G52,cubic metre per day,кубичен метър за ден
