,,,,,,
,,,,,,
,500,ДАНЪК ВЪРХУ ХАЗАРТНАТА ДЕЙНОСТ ПО ЗКПО,500010,"Данък върху хазартната дейност от игри, при които залогът за участие е чрез цената на телефонна или друга електронна съобщителна услуга (месечно)",15%,ЗКПО - чл. 238
,,,500020,"Данък върху хазартната дейност от игри с игрален автомат в игрална зала и игрално казино, съответно всяко игрално място от него (за 1 бр. игрален автомат, съответно всяко игрално място от него, на тримесечие)",500,"ЗКПО - чл. 245, ал. 1, т. 1"
,,,500030,"Данък върху хазартната дейност от игри с  рулетка в казино за игрална маса  (за 1 бр. игрална маса, на тримесечие)",22 000,"ЗКПО - чл. 245, ал. 1, т. 2"
,,,500040,"Данък върху хазартната дейност от игри с  друго игрално оборудване в казино (за 1 бр. друго игрално оборудване в казино, на тримесечие)",5 000,"ЗКПО - чл. 245, ал. 1, т. 3"
,,,500050,Лихви - Данък върху хазартната дейност,,
,600,ДАНЪК ВЪРХУ РАЗХОДИТЕ,600010,Данък върху представителните разходи,10%,
,,,600020,"Данък върху социалните разходи, предоставени в натура",10%,
,,,600030,"Данък върху социалните разходи, предоставени в натура",0%,"ЗКПО - чл. 210, ал. 1"
,,,600040,"Данък върху разходите в натура, свързани с предоставени за лично ползване активи и/или с използване на персонал",3%,
,,,600050,Лихви - данък върху представителните разходи,,
,,,600060,Лихви - данък върху социалните разходи,,
,,,600070,"Лихви - данък върху разходи в натура, свързани с предоставени за лично ползване активи и/или с използване на персонал",,
,,,600080,"Глоби, санкции и наказателни постановления",,
,700,ДАНЪК ПРИ ИЗТОЧНИКА,700010,Възнаграждения по договори за франчайз и факторинг,"10,0%","Чл. 195, ал. 1 във вр. с. чл. 12, ал. 5, т. 5 от ЗКПО и чл. 46, ал. 1 във вр. с чл. 37, ал. 1, т. 5 от ЗДДФЛ"
,,,700020,Възнаграждения по договори за франчайз и факторинг,"0,0%",СИДДО
,,,700030,Възнаграждения по договори за франчайз и факторинг,"2,0%",СИДДО
,,,700040,Възнаграждения по договори за франчайз и факторинг,"3,0%",СИДДО
,,,700050,Възнаграждения по договори за франчайз и факторинг,"5,0%",СИДДО
,,,700060,Възнаграждения по договори за франчайз и факторинг,"7,0%",СИДДО
,,,700070,Възнаграждения по договори за франчайз и факторинг,"7,5%",СИДДО
,,,700080,Авторски и лицензионни възнаграждения,"10,0%","Чл. 195, ал. 1 във вр. с. чл. 12, ал. 5, т. 3 от ЗКПО и чл. 46, ал. 1 във вр. с чл. 37, ал. 1, т. 6 от ЗДДФЛ"
,,,700090,Авторски и лицензионни възнаграждения,"0,0%","Чл. 195, ал. 6, т. 3 от ЗКПО"
,,,700100,Авторски и лицензионни възнаграждения,"0,0%",СИДДО
,,,700110,Авторски и лицензионни възнаграждения,"5,0%",СИДДО
,,,700120,Авторски и лицензионни възнаграждения,"7,0%",СИДДО
,,,700130,Авторски и лицензионни възнаграждения,"7,5%",СИДДО
,,,700140,Възнаграждения за технически услуги,"10,0%","Чл. 195, ал. 1 във вр. с. чл. 12, ал. 5, т. 4 от ЗКПО и чл. 46, ал. 1 във вр. с чл. 37, ал. 1, т. 7 от ЗДДФЛ"
,,,700150,Възнаграждения за технически услуги,"0,0%",СИДДО
,,,700160,Възнаграждения за технически услуги,"5,0%",СИДДО
,,,700170,Възнаграждения за технически услуги,"7,5%",СИДДО
,,,700180,Лихви,"10,0%","Чл. 195, ал. 1 във вр. с. чл. 12, ал. 5, т. 1 от ЗКПО и чл. 46, ал. 1 във вр. с чл. 37, ал. 1, т. 3 и чл. 38, ал. 11 от ЗДДФЛ"
,,,700190,Лихви,"8,0%","Чл. 46, ал. 4 във вр. с чл. 38, ал. 13 от ЗДДФЛ"
,,,700200,Лихви,"0,0%","Чл. 195, ал. 6 от ЗКПО, чл. 37, ал. 1, т. 3 и чл. 37, ал. 7 във вр. с чл. 13 от ЗДДФЛ"
,,,700210,Лихви,"0,0%",СИДДО
,,,700220,Лихви,"2,0%",СИДДО
,,,700230,Лихви,"3,0%",СИДДО
,,,700240,Лихви,"5,0%",СИДДО
,,,700250,Лихви,"7,0%",СИДДО
,,,700260,Доходи от наем или от друго възмездно предоставяне за ползване на движимо имущество,"10,0%","Чл. 195, ал. 1 във вр. с. чл. 12, ал. 5, т. 2 от ЗКПО и чл. 46, ал. 1 във вр. с чл. 37, ал. 1, т. 4 от ЗДДФЛ"
,,,700270,Доходи от наем или от друго възмездно предоставяне за ползване на движимо имущество,"0,0%",СИДДО
,,,700280,Доходи от наем или от друго възмездно предоставяне за ползване на движимо имущество,"5,0%",СИДДО
,,,700290,Доходи от наем или от друго възмездно предоставяне за ползване на движимо имущество,"7,5%",СИДДО
,,,700300,Доходи от наем или от друго възмездно предоставяне за ползване на недвижимо имущество,"10,0%","Чл. 195, ал. 1 във вр. с. чл. 12, ал. 8, т. 1 от ЗКПО и чл. 46, ал. 1 във вр. с чл. 37, ал. 1, т. 4 и чл. 38, ал. 12 от ЗДДФЛ"
,,,700310,Доходи от наем или от друго възмездно предоставяне за ползване на недвижимо имущество,"0,0%","Чл. 37, ал. 7 във вр. с чл. 13 от ЗДДФЛ"
,,,700320,Доходи от наем или от друго възмездно предоставяне за ползване на недвижимо имущество,"0,0%",СИДДО
,,,700330,Доходи от дивиденти и ликвидационни дялове,"5,0%","Чл. 194, ал. 1 от ЗКПО и чл. 46, ал. 3 във вр. с чл. 38, ал. 1 от ЗДДФЛ"
,,,700340,Доходи от дивиденти и ликвидационни дялове,"0,0%","Чл. 194, ал. 3 от ЗКПО"
,,,700350,Доходи от дивиденти и ликвидационни дялове,"0,0%",СИДДО
,,,700360,Доходи от управление или контрол,"10,0%","Чл. 195, ал. 1 във вр. с. чл. 12, ал. 5, т. 6 от ЗКПО и чл. 46, ал. 1 във вр. с чл. 37, ал. 1, т. 9 от ЗДДФЛ"
,,,700370,Доходи от управление или контрол,"0,0%",СИДДО
,,,700380,Доходите от финансови активи,"10,0%","Чл. 195, ал. 1 във вр. с. чл. 12, ал. 2 от ЗКПО"
,,,700390,Доходите от финансови активи,"0,0%",СИДДО
,,,700400,"Неустойки и обезщетения, в полза на чуждестранни лица, установени в юрисдикции с преференциален данъчен режим","10,0%","Чл. 195, ал. 1 във вр. с чл. 12, ал. 9 от ЗКПО и чл. 46, ал. 1 във вр. с чл. 37, ал. 1 от ЗДДФЛ"
,,,700410,"Неустойки и обезщетения, в полза на чуждестранни лица, установени в юрисдикции с преференциален данъчен режим","0,0%",СИДДО
,,,700420,"Доходи от допълнително доброволно осигуряване, от доброволно здравно осигуряване и от застраховки ""Живот""","10,0%","Чл. 46, ал. 1 във вр. с чл. 38, ал. 8"
,,,700430,"Доходи от допълнително доброволно осигуряване, от доброволно здравно осигуряване и от застраховки ""Живот""","7,0%","Чл. 46, ал. 2 във вр. с чл. 38, ал. 8"
,,,700440,"Доходи от допълнително доброволно осигуряване, от доброволно здравно осигуряване и от застраховки ""Живот""","0,0%",СИДДО
,,,700450,"Други доходи от източник в България, начислени/изплатени в полза на чуждестранни физически лица","10,0%","Чл. 46, ал. 1 във вр. с чл. 37, ал. 1, т. 1, 2 и 8"
,,,700460,"Други доходи от източник в България, начислени/изплатени в полза на чуждестранни физически лица","0,0%","Чл. 37, ал. 7 във вр. с чл. 13 от ЗДДФЛ"
,,,700470,"Други доходи от източник в България, начислени/изплатени в полза на чуждестранни физически лица","0,0%",СИДДО
,,,700480,"Други доходи на местни и чуждестранни физически лица, облагаеми с окончателен данък","10,0%","Чл. 46, ал. 1 във вр. с чл. 38, ал. 10, 14 и 15 от ЗДДФЛ"
,,,700490,"Други доходи на местни и чуждестранни физически лица, облагаеми с окончателен данък","0,0%",СИДДО
,,,700500,"Авансов данък за доход на физическо лице, който се удържа от платеца на дохода ","10,0%",ЗДДФЛ
,,,700510,"Авансов данък за доход на физическо лице, който се удържа от платеца на дохода ","0,0%",СИДДО
,,,700520,"Авансов данък за доход на морско лице, който се удържа от платеца на дохода ","1,0%",
,,,700540,Лихви - данък при източника,,
,,,700530,"Глоби, санкции и наказателни постановления",,
,800,ДАНЪК ВЪРХУ ДЕЙНОСТТА ОТ ОПЕРИРАНЕ НА КОРАБИ,800010,Стандартна ставка ,10%,
,,,800020,Лихви - данък върху дейността от опериране на кораби,,
,,,800030,"Глоби, санкции и наказателни постановления",,
,900,ВРЕМЕННА СОЛИДАРНА ВНОСКА ПО РЕГЛАМЕНТ 2022/1854,900010,Временна солидарна вноска по Регламент 2022/1854 (§ 9 от ПЗР на ЗИД на ЗКПО - ДВ бр. 99/2022 г.),33%,
,,,900020,Лихви - Временна солидарна вноска ,,
,,,900030,"Глоби, санкции и наказателни постановления",,
,910,ДАНЪК ВЪРХУ ЗАСТРАХОВАТЕЛНИТЕ ПРЕМИИ,910010,Данък върху застрахователните премии,2%,
,,,910020,Лихви - данък върху застрахователните премии,,
,,,910030,"Глоби, санкции и наказателни постановления",,
,,,915010,Допълнителен данък и национален допълнителен данък,Н/П,
,915,"ДОПЪЛНИТЕЛЕН ДАНЪК И НАЦИОНАЛЕН ДОПЪЛНИТЕЛЕН ДАНЪК ПО ГЛАВА ПЕТА ""А"" ОТ ЗКПО",915020,Лихви - допълнителен данък и национален допълнителен данък,,
,920,ДАНЪК ВЪРХУ ОБЩАТА ГОДИШНА ДАНЪЧНА ОСНОВА ПО ЗДДФЛ,920010,Данък върху годишната данъчна основа,10%,
,,,920020,Авансов данък,10%,
,,,920030,Авансов данък за морски лица,1%,
,,,920040,Лихви - данък върху годишната данъчна основа,,
,,,920050,Лихви - авансов данък,,
,,,920060,Лихви - авансов данък за морски лица,,
,,,920070,"Глоби, санкции и наказателни постановления",,
,930,ДАНЪК ВЪРХУ ГОДИШНАТА ДАНЪЧНА ОСНОВА ЗА ДОХОДИ ОТ СТОПАНСКА ДЕЙНОСТ КАТО ЕДНОЛИЧЕН ТЪРГОВЕЦ ПО ЗДДФЛ,930010,Данък върху годишната данъчна основа,15%,
,,,930020,Авансови вноски,15%,
,,,930030,Лихви - данък върху годишната данъчна основа,,
,,,930040,Лихви - авансов данък,,
,,,930050,"Глоби, санкции и наказателни постановления",,
,940,ДЪРЖАВНО ОБЩЕСТВЕНО ОСИГУРЯВАНЕ ,940010,"Фондовете на ""ДОО"" за сметка на работодател",,Чл. 6 от КСО
,,,940020,"Фондовете на ""ДОО"" за сметка на осигуреното лице",,Чл. 6 от КСО
,,,940030,Начети и лихви за ДОО,,
,,,940040,"ДОО - глоби, санкции и неустойки по наказателни постановления",,
,950,ФОНД ДЗПО,950010,"Универсален пенсионен фонд, за сметка на работодател/възложител",, Чл. 157 от КСО
,,,950020,"Универсален пенсионен фонд, за сметка на осиг. лице",, Чл. 157 от КСО
,,,950030,Професионален пенсионен фонд ,, Чл. 157 от КСО
,,,950040,Начети и лихви за УПФ,,
,,,950050,Начети и лихви ППФ,,
,,,950060,"УПФ - глоби, санкции, неустойки и обезщетения по наказателни постановления",,
,,,950070,"ППФ - глоби, санкции, неустойки и обезщетения по наказателни постановления",,
,960,ЗДРАВНО ОСИГУРЯВАНЕ,960010,ЗОВ за сметка на осигуряващия,,ЗЗО и ЗБНЗОК за съответната година 
,,,960020,ЗОВ за сметка на осигуеното лице ,,ЗЗО и ЗБНЗОК за съответната година 
,,,960030,Начети и лихви за здравно осигуряване,,
,,,960040,"НЗОК - глоби, санкции, неустойки и обезщетения по наказателни постановления",,
,970,УЧИТЕЛСКИ ПЕНСИОНЕН ФОНД,970010,Фонд УЧПФ за сметка на осигурителя,,чл. 6 от КСО
,980,ФОНД ГВРС,980010,Фонд Гарантирани вземания на работниците,,
,990,ТАКСИ ПО ЗАКОНА ЗА ХАЗАРТА,990010,"Държавна такса по чл. 30, ал. 1 от ЗХ ",,"Чл. 3, ал. 1, от Тарифа за таксите, които се събират по ЗХ"
,,,990020,"Такса за поддържане на лиценз по чл. 30, ал. 3 от ЗХ ",,
,,,990030,"Такса за поддържане на лиценз по чл. 30, ал. 3 от ЗХ (при събиране на такси и комисионни за участие) ",,
,,,990040,"Държавна такса за издаване и поддържане на лиценз за онлайн залагания, на основание чл. 30, ал. 4 от ЗХ ",,
,,,990050,"Държавна такса по чл. 30, ал. 5 от ЗХ за издаване и поддържане на лиценз за игри в игрално казино",,
,,,990060,"Държавна такса по чл. 30, ал. 6 от ЗХ за издаване и поддържане на лиценз за игри с игрални автомати в игрална зала или игрално казино",,
,,,990070,Вноски за социално отговорно поведение – чл. 10а от ЗХ,,
,,,990080,Лихви - такси по ЗХ,,
,,,990090,"Глоби, санкции и наказателни постановления",,
,1000,Закон за акцизите и данъчните складове,100010,Акциз,,
